Participant_ID,Count,Pointing_Technique,Width,Click_Offset_X,Click_Offset_Y,Right_Target_Clicked,X_Distance,Y_Distance,Time,Fitts_ID,Fitts_Performance,Target_Distance,Timestamp
3,21,True,94,0,0,True,-768,-368,269,3.210378035646272,11.934490838833725,435.0287346831241,2019-05-29T08:51:03
3,22,False,94,20,2,True,-164,134,131,4.062656157785455,31.01264242584317,785.3788894540011,2019-05-29T08:51:05
3,23,True,19,0,0,True,179,-424,153,6.127126642603548,40.046579363421884,664.0067770738489,2019-05-29T08:51:06
3,24,False,19,1,6,True,250,516,245,6.632693076652311,27.072216639397187,942.677569479618,2019-05-29T08:51:07
3,25,True,94,0,0,True,-384,47,142,4.060592617081266,28.595722655501874,784.2563356454317,2019-05-29T08:51:09
3,26,False,94,1,-9,True,831,280,164,4.718203553795927,28.76953386460931,1237.1394424235289,2019-05-29T08:51:10
3,27,True,19,0,0,True,888,-111,147,5.410937771992601,36.80910048974559,404.18312681258726,2019-05-29T08:51:12
3,28,False,19,2,-3,True,-695,-482,180,7.419089620809372,41.21716456005207,1625.893600454839,2019-05-29T08:51:14
3,29,True,94,0,0,True,-820,398,136,4.235895555880251,31.14629085206067,885.5834235124323,2019-05-29T08:51:15
3,30,False,94,19,-10,True,-791,127,155,2.5357736678610947,16.35983011523287,272.5472436110848,2019-05-29T08:51:16
3,31,True,19,0,0,True,700,-396,153,7.397108072889806,48.34711158751507,1601.3085274237442,2019-05-29T08:51:18
3,32,False,19,-8,-3,True,-326,-402,75,6.754912170785821,90.06549561047761,1026.017543709658,2019-05-29T08:51:19
3,33,True,94,0,0,True,-463,353,73,4.026332606438213,55.15524118408511,765.851813342503,2019-05-29T08:51:20
3,34,False,94,-13,13,True,268,94,132,4.044444194518335,30.63972874635102,775.5269176501871,2019-05-29T08:51:21
3,35,True,19,0,0,True,551,141,217,4.863658550233784,22.413173042552,276.5863337187866,2019-05-29T08:51:23
3,36,False,19,2,2,True,22,-146,260,5.985305912367861,23.020407355261003,601.8388488623845,2019-05-29T08:51:25
3,37,True,94,0,0,True,-609,204,109,3.938855741785209,36.13629120903862,720.7947003134803,2019-05-29T08:51:26
3,38,False,94,14,1,True,756,139,130,4.861730241046533,37.39792493112717,1366.5467427058616,2019-05-29T08:51:27
3,39,True,19,0,0,True,-358,497,174,6.928370640892725,39.81822207409612,1157.100254947686,2019-05-29T08:51:29
3,40,False,19,-5,-7,True,92,-27,164,6.184002279415609,37.7073309720464,690.7068842859466,2019-05-29T08:51:31
4,1,False,94,-24,0,True,-661,-293,28,3.822241514167248,136.50862550597313,664.824788948186,2019-05-29T08:52:30
4,2,True,19,0,0,True,-67,378,233,6.534122105741388,28.043442513911536,880.4209220594431,2019-05-29T08:52:32
4,3,False,19,-8,-2,True,488,164,33,5.968402562510259,180.8606837124321,594.8285467258612,2019-05-29T08:52:34
4,4,True,94,0,0,True,480,-242,105,3.118944976905298,29.704237875288552,408.31360496559506,2019-05-29T08:52:34
4,5,False,94,-16,-34,True,-164,361,96,4.230436269999905,44.06704447916568,882.2386298502237,2019-05-29T08:52:35
4,6,True,19,0,0,True,-243,-107,75,5.748997772444461,76.65330363259282,510.9099725000482,2019-05-29T08:52:37
4,7,False,19,-9,-2,True,290,215,91,6.034498900997197,66.31317473623294,622.7142201684493,2019-05-29T08:52:38
4,8,True,94,0,0,True,398,-85,128,2.757444741418704,21.542537042333628,317.81283800375337,2019-05-29T08:52:39
4,9,False,94,-32,-9,True,120,-390,83,3.134308723754471,37.76275570788519,412.68510998096355,2019-05-29T08:52:40
4,10,True,19,0,0,True,373,-276,247,4.686797115585878,18.974887107635134,244.6752950340512,2019-05-29T08:52:41
4,11,False,19,-4,-1,True,248,-256,112,3.7360908547531473,33.35795406029596,126.58988901172162,2019-05-29T08:52:42
4,12,True,94,0,0,True,664,187,112,3.684393025780195,32.896366301608886,604.2416735048982,2019-05-29T08:52:44
4,13,False,94,-11,-4,True,-705,-443,104,5.002878661439611,48.10460251384241,1507.0039814147806,2019-05-29T08:52:45
4,14,True,19,0,0,True,-562,-339,206,4.123648183612665,20.017709629187696,165.60193235587562,2019-05-29T08:52:46
4,15,False,19,-7,1,True,-651,-268,147,3.583072845915655,24.37464521031058,113.85077953180645,2019-05-29T08:52:47
4,16,True,94,0,0,True,-489,303,120,3.6563962932977354,30.469969110814464,592.6288889347194,2019-05-29T08:52:48
4,17,False,94,-15,-1,True,-762,-293,129,3.801971812702305,29.47264971087058,655.5493879182559,2019-05-29T08:52:49
4,18,True,19,0,0,True,195,413,233,6.952481462906847,29.8389762356517,1176.6006119325282,2019-05-29T08:52:51
4,19,False,19,-6,-3,True,-231,-157,106,6.226997238261524,58.74525696473136,711.6010118036652,2019-05-29T08:52:52
4,20,True,94,0,0,True,-619,103,137,3.323184215585932,24.256819091868117,470.40939616465994,2019-05-29T08:52:53
4,21,False,94,17,-3,True,503,-107,91,4.6021051172005665,50.57258370550073,1141.483245606347,2019-05-29T08:52:54
4,22,True,19,0,0,True,861,24,144,5.382316353279839,37.377196897776656,396.24361193588976,2019-05-29T08:52:56
4,23,False,19,-5,-4,True,560,352,11,5.550316610575516,504.5742373250469,445.1797389819083,2019-05-29T08:52:57
4,24,True,94,0,0,True,-350,-369,109,4.634508824413752,42.51842958177754,1167.4116668939025,2019-05-29T08:52:58
4,25,False,94,-4,13,True,731,311,199,4.764056575149967,23.939982789698323,1277.0908346707372,2019-05-29T08:53:00
4,26,True,19,0,0,True,484,-126,180,5.696708599403426,31.648381107796812,492.72406070741056,2019-05-29T08:53:01
4,27,False,19,0,-3,True,-807,422,116,7.205849749134978,62.11939438909463,1402.4924242219636,2019-05-29T08:53:03
4,28,True,94,0,0,True,66,55,110,4.33441521231018,39.403774657365275,948.1713980077652,2019-05-29T08:53:04
4,29,False,94,-8,-15,True,-400,-233,116,3.542953045008869,30.542698663869558,547.8138369920935,2019-05-29T08:53:05
4,30,True,19,0,0,True,817,-511,129,7.032840459922668,54.51814310017572,1243.9975884220999,2019-05-29T08:53:06
4,31,False,19,-9,-5,True,309,123,108,6.418147594694947,59.42729254347173,812.4161495194443,2019-05-29T08:53:08
4,32,True,94,0,0,True,422,-54,121,2.1570347729776818,17.826733660972575,209.61870145576228,2019-05-29T08:53:09
4,33,False,94,19,-14,True,-583,-283,51,4.4549037701196275,87.35105431607113,1030.759913849971,2019-05-29T08:53:10
4,34,True,19,0,0,True,484,248,111,6.984232183635712,62.9210106633848,1202.7821914212066,2019-05-29T08:53:11
4,35,False,19,-9,0,True,699,-353,220,6.070161748382023,27.591644310827377,638.2993028352765,2019-05-29T08:53:13
4,36,True,94,0,0,True,-671,-368,114,4.874903233805627,42.76230906847041,1379.0815784426968,2019-05-29T08:53:14
4,37,False,94,-27,6,True,-830,-96,112,2.744909900763834,24.508124113962804,315.06348566598444,2019-05-29T08:53:15
4,38,True,19,0,0,True,522,-477,257,7.1794313614546565,27.93553058931773,1377.0439353920412,2019-05-29T08:53:17
4,39,False,19,4,-1,True,300,-246,268,5.075724400377321,18.939270150661642,320.3825837963106,2019-05-29T08:53:18
4,40,True,94,0,0,True,145,-146,136,1.9417475734169278,14.277555686889174,180.5602392554906,2019-05-29T08:53:18
